      Time | hexA hexB hexSUM hexREF | decA decB decSUM decREF | CORRECT
 123770 ns |    A    9     13     13 |   10    9     19     19 |      OK
 124570 ns |    B    9     14     14 |   11    9     20     20 |      OK
 125370 ns |    C    9     15     15 |   12    9     21     21 |      OK
 126170 ns |    D    9     16     16 |   13    9     22     22 |      OK
 126970 ns |    E    9     17     17 |   14    9     23     23 |      OK
 127770 ns |    F    9     18     18 |   15    9     24     24 |      OK
 128570 ns |    0    A     0A     0A |    0   10     10     10 |      OK
 129370 ns |    1    A     0B     0B |    1   10     11     11 |      OK
 130170 ns |    2    A     0C     0C |    2   10     12     12 |      OK
 130970 ns |    3    A     0D     0D |    3   10     13     13 |      OK
 131770 ns |    4    A     0E     0E |    4   10     14     14 |      OK
 132570 ns |    5    A     0F     0F |    5   10     15     15 |      OK
 133370 ns |    6    A     10     10 |    6   10     16     16 |      OK
 134170 ns |    7    A     11     11 |    7   10     17     17 |      OK
 134970 ns |    8    A     12     12 |    8   10     18     18 |      OK
 135770 ns |    9    A     13     13 |    9   10     19     19 |      OK
 136570 ns |    A    A     14     14 |   10   10     20     20 |      OK
 137370 ns |    B    A     15     15 |   11   10     21     21 |      OK
 138170 ns |    C    A     16     16 |   12   10     22     22 |      OK
 138970 ns |    D    A     17     17 |   13   10     23     23 |      OK
 139770 ns |    E    A     18     18 |   14   10     24     24 |      OK
 140570 ns |    F    A     19     19 |   15   10     25     25 |      OK
 141370 ns |    0    B     0B     0B |    0   11     11     11 |      OK
 142170 ns |    1    B     0C     0C |    1   11     12     12 |      OK
 142970 ns |    2    B     0D     0D |    2   11     13     13 |      OK
 143770 ns |    3    B     0E     0E |    3   11     14     14 |      OK
 144570 ns |    4    B     0F     0F |    4   11     15     15 |      OK
 145370 ns |    5    B     10     10 |    5   11     16     16 |      OK
 146170 ns |    6    B     11     11 |    6   11     17     17 |      OK
 146970 ns |    7    B     12     12 |    7   11     18     18 |      OK
 147770 ns |    8    B     13     13 |    8   11     19     19 |      OK
 148570 ns |    9    B     14     14 |    9   11     20     20 |      OK
 149370 ns |    A    B     15     15 |   10   11     21     21 |      OK
 150170 ns |    B    B     16     16 |   11   11     22     22 |      OK
 150970 ns |    C    B     17     17 |   12   11     23     23 |      OK
 151770 ns |    D    B     18     18 |   13   11     24     24 |      OK
 152570 ns |    E    B     19     19 |   14   11     25     25 |      OK
 153370 ns |    F    B     1A     1A |   15   11     26     26 |      OK
 154170 ns |    0    C     0C     0C |    0   12     12     12 |      OK
 154970 ns |    1    C     0D     0D |    1   12     13     13 |      OK
 155770 ns |    2    C     0E     0E |    2   12     14     14 |      OK
 156570 ns |    3    C     0F     0F |    3   12     15     15 |      OK
 157370 ns |    4    C     10     10 |    4   12     16     16 |      OK
 158170 ns |    5    C     11     11 |    5   12     17     17 |      OK
 158970 ns |    6    C     12     12 |    6   12     18     18 |      OK
 159770 ns |    7    C     13     13 |    7   12     19     19 |      OK
 160570 ns |    8    C     14     14 |    8   12     20     20 |      OK
 161370 ns |    9    C     15     15 |    9   12     21     21 |      OK
 162170 ns |    A    C     16     16 |   10   12     22     22 |      OK
 162970 ns |    B    C     17     17 |   11   12     23     23 |      OK
 163770 ns |    C    C     18     18 |   12   12     24     24 |      OK
 164570 ns |    D    C     19     19 |   13   12     25     25 |      OK
 165370 ns |    E    C     1A     1A |   14   12     26     26 |      OK
 166170 ns |    F    C     1B     1B |   15   12     27     27 |      OK
 166970 ns |    0    D     0D     0D |    0   13     13     13 |      OK
 167770 ns |    1    D     0E     0E |    1   13     14     14 |      OK
 168570 ns |    2    D     0F     0F |    2   13     15     15 |      OK
 169370 ns |    3    D     10     10 |    3   13     16     16 |      OK
 170170 ns |    4    D     11     11 |    4   13     17     17 |      OK
 170970 ns |    5    D     12     12 |    5   13     18     18 |      OK
 171770 ns |    6    D     13     13 |    6   13     19     19 |      OK
 172570 ns |    7    D     14     14 |    7   13     20     20 |      OK
 173370 ns |    8    D     15     15 |    8   13     21     21 |      OK
 174170 ns |    9    D     16     16 |    9   13     22     22 |      OK
 174970 ns |    A    D     17     17 |   10   13     23     23 |      OK
 175770 ns |    B    D     18     18 |   11   13     24     24 |      OK
 176570 ns |    C    D     19     19 |   12   13     25     25 |      OK
 177370 ns |    D    D     1A     1A |   13   13     26     26 |      OK
 178170 ns |    E    D     1B     1B |   14   13     27     27 |      OK
 178970 ns |    F    D     1C     1C |   15   13     28     28 |      OK
 179770 ns |    0    E     0E     0E |    0   14     14     14 |      OK
 180570 ns |    1    E     0F     0F |    1   14     15     15 |      OK
 181370 ns |    2    E     10     10 |    2   14     16     16 |      OK
 182170 ns |    3    E     11     11 |    3   14     17     17 |      OK
 182970 ns |    4    E     12     12 |    4   14     18     18 |      OK
 183770 ns |    5    E     13     13 |    5   14     19     19 |      OK
 184570 ns |    6    E     14     14 |    6   14     20     20 |      OK
 185370 ns |    7    E     15     15 |    7   14     21     21 |      OK
 186170 ns |    8    E     16     16 |    8   14     22     22 |      OK
 186970 ns |    9    E     17     17 |    9   14     23     23 |      OK
 187770 ns |    A    E     18     18 |   10   14     24     24 |      OK
 188570 ns |    B    E     19     19 |   11   14     25     25 |      OK
 189370 ns |    C    E     1A     1A |   12   14     26     26 |      OK
 190170 ns |    C    E     1A     11 |   12   14     26     17 |      NO
 190970 ns |    D    E     1B     1B |   13   14     27     27 |      OK
 191770 ns |    E    E     1C     1C |   14   14     28     28 |      OK
 192570 ns |    F    E     1D     1D |   15   14     29     29 |      OK
 193370 ns |    0    F     0F     0F |    0   15     15     15 |      OK
 194170 ns |    1    F     10     10 |    1   15     16     16 |      OK
 194970 ns |    2    F     11     11 |    2   15     17     17 |      OK
 195770 ns |    3    F     12     12 |    3   15     18     18 |      OK
 196570 ns |    4    F     13     13 |    4   15     19     19 |      OK
 197370 ns |    5    F     14     14 |    5   15     20     20 |      OK
 198170 ns |    6    F     15     15 |    6   15     21     21 |      OK
 198970 ns |    7    F     16     16 |    7   15     22     22 |      OK
 199770 ns |    8    F     17     17 |    8   15     23     23 |      OK
 200570 ns |    9    F     18     18 |    9   15     24     24 |      OK
 201370 ns |    A    F     19     19 |   10   15     25     25 |      OK
 202170 ns |    B    F     1A     1A |   11   15     26     26 |      OK
 202970 ns |    C    F     1B     1B |   12   15     27     27 |      OK
 203770 ns |    D    F     1C     1C |   13   15     28     28 |      OK
 204570 ns |    E    F     1D     1D |   14   15     29     29 |      OK
 205370 ns |    F    F     1E     1E |   15   15     30     30 |      OK
 206170 ns |    F    F     1E     0E |   15   15     30     14 |      NO
